udid,install_date,lang,country,hw_ver,os_ver
bddedd93772544fabcaa17d3b7825073,3/4/2016,en,US,"iPhone7,2",9.1
2c9e9c99268d42f8bbaf5861272518cf,3/4/2016,en,BS,"iPhone3,1",7.1.2
59e1c3102dfe44f9bc0c5175a386f904,3/4/2016,en,TH,"iPad5,1",9.2.1
2b2e3b3f0f0c4af494cfab39f38b38e4,3/4/2016,en,CA,"iPhone6,1",9.2.1
2e651e415af34361bc7ed04a3bbd0a98,3/4/2016,en,GB,"iPhone4,1",9.2.1
9b80fdaf700e40199932b216a76774b5,3/4/2016,en,US,"iPhone6,1",9.2.1
56a78b70350844608d8b2d4aafeb4d51,3/4/2016,en,BR,"iPhone7,2",9.2.1
0a271d68686c4212b78b64e7deaa1718,3/4/2016,en,US,"iPhone7,2",9.2.1
5fca668256f74e40821f4f3f0cc18898,3/4/2016,en,US,"iPhone6,1",9.1
31d01da52b604c378926fcd6b2976711,3/4/2016,es,UY,"iPad3,1",8.4.1
0bc6f8e17dd1404ba9fb5828ab81bcb8,3/4/2016,en,US,"iPad2,5",9.2
7f48b5500d854e6ba042a7b976524319,3/4/2016,en,US,"iPhone7,2",9.2.1
4158090d3b014896890233b085595a7c,3/4/2016,en,US,"iPhone5,1",9.2.1
d2ed775e348b49c1b813b223983df8ec,3/4/2016,en,US,"iPhone8,1",9.2.1
c930f9be6efc4e339733586af30f95f8,3/4/2016,en,US,"iPhone7,2",9.2.1
af09ea15c99f42b795e78cdde07ffc6e,3/4/2016,en,US,"iPhone7,2",9.2.1
814b0a2fb57f419baa88a5af02cbee60,3/4/2016,en,US,"iPhone7,2",9.2.1
ec1662f257114ee29472b7f868e1e0aa,3/4/2016,en,US,"iPhone5,2",9.2.1
4bb537584e5c473ebdbed3561ff8ae68,3/4/2016,en,US,"iPhone8,1",9.2.1
de66ad15980d46b08d49c092f646a186,3/4/2016,en,CA,"iPhone7,2",9.2.1
6be5267ae17f4b9dbbb0bfcdd1fae3b7,3/4/2016,en,US,"iPad2,5",9.1
90b12090cb124317ac504170444c4cbf,3/4/2016,en,US,"iPhone6,1",8.1.1
736226af94f440e3a598082ed492fc66,3/4/2016,en,US,"iPhone5,2",9.2.1
8e029c1d779041ab96adeb616ab57673,3/4/2016,en,AU,"iPhone6,2",9.2
2a8eee2ae6904b179ac5c0af24f2f687,3/4/2016,en,US,"iPhone8,2",9.1
0b15ba00f7ac4a41b80148d23f69ea79,3/4/2016,en,AU,"iPod5,1",9.2.1
e6fb69928b96468898cbe182d4790f01,3/4/2016,en,GB,"iPad4,4",9.2.1
5965e6da777244edaff414f9335b412d,3/4/2016,en,TH,"iPhone6,2",9.2.1
a6ba519764c74040bf18033794241dbc,3/5/2016,en,US,"iPhone6,1",9.2.1
d7b696c605dc4c659b325f90b15f4ae8,3/5/2016,en,US,"iPhone7,2",9.2.1
739284b80a0748b0a9a0da986c72b768,3/5/2016,en,AU,"iPhone8,1",9.1
f045ccec47c94cd58b5b48fdc01c20bc,3/5/2016,nb,NO,"iPad4,1",9.2.1
d43af917f1ba499ca2ee768b0f60ab83,3/5/2016,en,SE,"iPad2,5",9.2.1
e8caf2453b09436aa9600b285abeab0c,3/5/2016,en,IE,"iPad2,4",8.4.1
c450d6385087473292dad3a117802838,3/5/2016,pt,BR,"iPad4,1",9.2.1
025c57b83672475fbaf777bb3e5ad4f9,3/5/2016,en,US,"iPad4,7",9.0.2
35ae19d1b231492f8f67bb9b2d8886a8,3/5/2016,en,US,"iPhone7,1",9.2
7cdc5eb7d64745a9aab6e04647db7fab,3/5/2016,en,CA,"iPhone7,2",9.2.1
998349382a374909a61b93cc4acbf161,3/5/2016,ru,RU,"iPad4,4",9.2
ee53509a63ce488095d9447acb2b0750,3/5/2016,en,US,"iPad2,5",9.2.1
3d7c9e97d0ec4c4784c51a5fa2630abb,3/5/2016,en,US,"iPhone8,2",9.1
fd00f98138664299a365f1c8fd34397a,3/5/2016,ru,RU,"iPhone4,1",8.1.3
5f41d660ea064666bc57fafa0612fa40,3/5/2016,en,US,"iPad5,3",9.2.1
0ea68ad7aed944d2a6fa871e32190dbb,3/5/2016,sv,SE,"iPhone6,2",9.2.1
c2bde34b73ab45239202ec0f60532322,3/5/2016,ar,JO,"iPad4,4",9.2.1
b55f67e08dc841d986ccf3b20e232466,3/5/2016,en,PK,"iPad2,5",8.3
c94bb904f7584ca2a445647a38117f0d,3/5/2016,en,GB,"iPhone7,2",9.2.1
0ff3c0ac4a924fdbaeb25663f63fda38,3/5/2016,en,US,"iPad2,5",8.4.1
6289b5041fb84228a06295f61b7a4e55,3/5/2016,en,US,"iPad2,1",8.1
e595105c3d2742168e70c55719d67305,3/5/2016,en,US,"iPhone8,1",9.2.1
035ebcf766a84b70b55cff8b794ddc38,3/5/2016,en,US,"iPhone5,3",9.1
1f635f3fd88f42ee9eea65ea71e85178,3/5/2016,en,GB,"iPad2,5",9.2.1
07344011fe9d44ffa4eb0b221fd9678a,3/5/2016,cs,CZ,"iPhone8,1",9.2.1
c4d23bf32e0647e18a212e1e606e0970,3/5/2016,en,GB,"iPhone4,1",9.2.1
a625c28d297042eeb2a9c28997b516ac,3/5/2016,en,US,"iPad4,5",9.2.1
2533343017bc4be784788c9f7cb4b93f,3/5/2016,es,ES,"iPhone7,2",8.4
53974e9f446742449543dcef772f5e18,3/5/2016,en,PH,"iPad2,1",7.0.4
fed2d3f335ac416db2582ff4aa6a87a2,3/5/2016,da,DK,"iPhone4,1",7.0.4
5bb0f55e761e45f995216389d3c42d94,3/5/2016,en,US,"iPhone8,2",9.2.1
105455abb46b4971a72650bc6efbb166,3/5/2016,en,ID,"iPhone7,1",8.0.2
625ae45e54264e74acf9fe77e84fb7b1,3/5/2016,zh,TW,"iPhone7,2",9.2.1
24ae5d04038a45e4bcc3e0025bd009fa,3/5/2016,en,US,"iPhone3,1",7.1.2
eaebc2b414e2460495f5c4b2860cf38e,3/5/2016,en,US,"iPhone6,1",9.2.1
7c97f0f5cd814b03bc37a5d2407c82ac,3/5/2016,en,US,"iPhone7,2",9.2.1
6b7c5d221e5a4f6bbd00704bb84b783b,3/5/2016,en,US,"iPhone6,1",9.2.1
04862399c06646b7ae0fed25facccabe,3/5/2016,en,US,"iPhone8,1",9.1
356d95b858c34ee4ac3afead0fe8d20c,3/5/2016,en,US,"iPhone8,1",9.2.1
bd4257eb56914217981fede54a27333e,3/5/2016,en,US,"iPad2,3",9.2.1
f460e2ed3e6f49e297e9bf11922ce940,3/5/2016,da,DK,"iPhone4,1",9.2.1
bcbc3bef0f894209882240ddcb1b9b6c,3/5/2016,en,US,"iPhone8,1",9.2.1
2b38039a4609487db65f03566d813d59,3/6/2016,en,AU,"iPhone6,2",9.2
a39242dd373b4464b88a385798ad2246,3/6/2016,nl,NL,"iPad4,1",9.2.1
0e22c04b92b344539b8b3f91a2a37eb4,3/6/2016,en,GB,"iPhone5,4",9.2.1
568b3ca4630e428d9b692e75962da56d,3/6/2016,da,DK,"iPad4,1",9.2
f361783f2443458f963041721b4351a4,3/6/2016,ru,RU,"iPhone7,2",9.2.1
a4fe167a05e84fe6837429e1c087be84,3/6/2016,de,DE,"iPhone8,1",9.2.1
59342e9ee3c24a328bcef2638a6e0166,3/6/2016,nl,NL,"iPhone8,1",9.2
3a761b374a1d4858b1e5ab7e62578e2e,3/6/2016,ru,RU,"iPad4,2",9.2.1
2fe8b9439e68468386434817cfd9599a,3/6/2016,tr,TR,"iPad4,1",9.2.1
b313f83c84b44967993306a9af75a3eb,3/6/2016,en,CA,"iPhone5,3",9.2.1
4024fa05d8234c128fff3beca7777877,3/6/2016,tr,TR,"iPhone5,1",9.2.1
023d65d4cf9d46f1892fb5ed7cb9cad9,3/6/2016,he,IL,"iPhone7,1",9.1
5eb5a4c7a15e4013a722eb825a490ac8,3/6/2016,en,US,"iPhone8,2",9.2.1
0b18f6bd71494a6db8e126af2200742f,3/6/2016,en,US,"iPhone5,3",9.2.1
1bb98de55f224654a276637454ba625d,3/6/2016,en,GB,"iPhone7,2",9.2.1
7555443f07e548bc88bf31ed9160eae8,3/6/2016,en,FJ,"iPhone7,1",9.2.1
69fe0a0e07cc4431af22a886acdad694,3/6/2016,en,US,"iPhone7,2",9.1
1fdc982545214e63aafb661f7d525370,3/6/2016,en,US,"iPhone8,1",9.2
f1021ecd1f944a429a979a19a09b5a69,3/6/2016,en,US,"iPad2,5",9.2.1
fbb9a0043e69492395a5451b0864adb9,3/6/2016,en,US,"iPhone6,1",9.3
2be477e72c4d49d8ad1dc4a2f6f6a63a,3/6/2016,fi,FI,"iPhone7,2",9.2.1
270f0acb091a439fa247e0ef89d8a174,3/6/2016,en,US,"iPhone5,3",9.2.1
5eb56f2bcb344ea48d541b170c40438c,3/6/2016,sv,SE,"iPhone7,2",9.2.1
90366991e98d468c8b353ad9db215170,3/6/2016,es,ES,"iPhone3,1",7.1.2
4913c7c3b0374159a15fdc1100093fcc,3/6/2016,en,PR,"iPhone5,1",8.3
d3f09cd8c0bd4c54a4b79760f7018b52,3/6/2016,en,US,"iPhone7,2",9.2.1
bf9bce3286fe4464aabee2e00c31c7ec,3/6/2016,en,US,"iPad3,4",8
28cde6f8ee934a199d1bc658d8820497,3/6/2016,en,IE,"iPhone7,2",9.2.1
36b3e98d8e554639a1167d4ec42cee00,3/6/2016,en,US,"iPhone8,1",9.2.1
bd3c85494cc04337956600393a1c8711,3/6/2016,en,US,"iPhone8,2",9.2.1
5ea77f8625844696b6d01c1b8a92831c,3/6/2016,en,US,"iPad2,5",9.2.1
3d7876c949c441c9a1e4705ea46d1b7a,3/6/2016,en,US,"iPhone6,1",9.2.1
658232927b0841169339bb165602cbb2,3/6/2016,en,US,"iPad5,3",9.2.1
3e85ac7995c14bf5ad52823d174fd2fe,3/6/2016,en,US,"iPhone7,2",9.2.1
6a399649fd5741f8895e7caaa30fafac,3/6/2016,en,US,"iPad4,4",9.2.1
428a7c08ba144e19babe0aac5908391d,3/6/2016,en,US,"iPhone6,1",9.2.1
5687b394b34047f399c00e593a444c7c,3/6/2016,en,ZA,"iPhone7,2",9.1
932aa8273a1e4cd1bd084b0795ff7ccd,3/6/2016,en,AU,"iPhone3,1",7.1.2
0d166d1138394e289a8c21d2d0a408d8,3/6/2016,en,IN,"iPad2,7",8.4.1
43dffef98fd047de9440bbd0b423bbb9,3/6/2016,en,CA,"iPhone6,1",9.2.1
2606e086f96d419c8acdab7c0f04fed1,3/6/2016,en,US,"iPhone8,1",9.2.1
