udid,lang,country,hw_ver,os_ver,purchased,morning,afternoon,night,weekday,weekend,duration,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,first_week_count,first_week_avg,days_played_firstweek,second_week_count,second_week_avg,days_played_secondweek
6937eb1363fe4f00a0b6d9569d26f929,en,US,"iPhone8,1",9.2.1,N,133,106,35,223,51,19,17,43,25,13,14,7,3,1,16,4,0,23,11,21,122,17,7,76,11,6
f2f41a6d313b4c7e9cd6ee760595561e,en,GB,"iPad5,3",8.1.2,N,8,10,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,1,0,0,0
020a2949555f4aa18f48151bd413f35d,en,GB,"iPad2,4",9.2.1,N,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
a1fbfdb645fe46f182e9a33795922aee,en,US,"iPod5,1",9.2,N,3,10,3,11,5,11,5,0,0,5,0,1,1,2,1,0,0,1,0,0,12,2,4,4,1,3
e0174b6ec9a94713b9e99c688d4ebdc0,nb,NO,"iPhone8,1",9.2.1,N,2,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
115ab559ad30488bb0af2c5fe29ef73e,en,GB,"iPhone8,1",9,N,4,0,0,3,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0
a3db5920d1d94aff8a240a72163b41e8,en,US,"iPhone6,1",9.2.1,N,0,6,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0
df8c0d7681fd460f91378d01d25d1275,en,GB,"iPad2,5",9.2.1,N,4,9,0,13,0,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,13,2,2,0,0,0
5c91f29401a84408a2a034f98119dddf,en,US,"iPhone8,2",9.1,N,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0
ea564546e9cd49688638a2cafc3cae8a,en,US,"iPhone5,3",9.2.1,N,0,10,0,10,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,0,0,0
5fa34861e5fa44799b6e74135631b7e8,zh,Ha,"iPhone8,1",9.0.2,N,24,9,16,49,0,8,1,2,0,0,0,5,16,23,2,0,0,0,0,0,24,3,4,25,4,2
f84316422d564fb5be020338217b830c,en,US,"iPhone8,2",9.2.1,N,7,19,4,12,18,33,5,4,7,7,1,0,0,0,1,0,1,0,0,0,24,3,5,2,0,2
edae5723e2fc40bb82df8fe9360dada4,en,GB,"iPhone7,2",9.2.1,Y,1,11,2,8,6,59,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
07fe43e667654b0196c103bc8b5d21a8,en,US,"iPhone6,1",9.2.1,N,31,18,6,19,36,21,3,0,0,0,0,0,3,0,0,0,0,0,0,0,6,1,2,0,0,0
be0bebbfed6647c2b1ea4a278f8f1f08,pt,BR,"iPhone6,2",9.2.1,N,18,14,5,18,19,51,2,13,9,9,0,0,0,0,0,0,0,0,0,0,33,5,4,0,0,0
8fb06a834665485bb5931ca363076146,en,US,"iPad5,4",9.2.1,N,23,21,23,50,17,38,1,0,0,7,9,1,1,5,2,0,0,0,1,7,19,3,5,15,2,4
f9b7a19928274dadb2424a2c636b8cec,en,AS,"iPad4,4",9.2.1,N,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
b9458e1162d14deb8e867c80e922d17f,en,GB,"iPhone6,1",9.2.1,N,4,0,10,14,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,14,2,2,0,0,0
f39d2d34c3e44cb9910905a032431448,en,US,"iPad5,1",9.2,Y,11,40,10,50,11,21,5,18,8,3,3,0,10,0,13,0,0,0,0,0,47,7,6,13,2,1
83e83355935e429296abdef28160db55,en,US,"iPhone8,1",9.2.1,N,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
013a033d1a2f47e98a237b032d55c543,en,HK,"iPhone7,2",9.2.1,N,11,20,29,27,33,5,12,22,11,12,2,1,0,0,0,0,0,0,0,0,60,9,6,0,0,0
bae9f4721a234fd3b5f897b3234ce070,en,DE,"iPhone8,2",9.2.1,N,24,1,8,18,15,42,7,6,0,5,1,1,0,0,0,2,0,0,0,0,20,3,5,2,0,1
1e8968efd41d47bfa5c1b0788b92f3dc,en,CH,"iPad5,1",9.2.1,N,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
bddedd93772544fabcaa17d3b7825073,en,US,"iPhone7,2",9.1,N,25,26,1,26,26,50,10,2,2,0,0,0,2,0,4,3,0,0,0,0,16,2,4,7,1,2
2c9e9c99268d42f8bbaf5861272518cf,en,BS,"iPhone3,1",7.1.2,N,16,44,2,42,20,55,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0
59e1c3102dfe44f9bc0c5175a386f904,en,TH,"iPad5,1",9.2.1,N,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2b2e3b3f0f0c4af494cfab39f38b38e4,en,CA,"iPhone6,1",9.2.1,N,12,16,4,16,16,14,2,1,2,0,2,0,0,2,11,2,3,1,0,0,7,1,4,19,3,5
2e651e415af34361bc7ed04a3bbd0a98,en,GB,"iPhone4,1",9.2.1,N,183,49,131,219,144,61,8,2,3,10,8,6,0,0,0,7,0,0,0,6,37,5,6,13,2,2
9b80fdaf700e40199932b216a76774b5,en,US,"iPhone6,1",9.2.1,Y,9,3,3,11,4,11,3,4,0,2,0,2,0,0,0,0,0,4,0,0,11,2,4,4,1,1
56a78b70350844608d8b2d4aafeb4d51,en,BR,"iPhone7,2",9.2.1,N,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0a271d68686c4212b78b64e7deaa1718,en,US,"iPhone7,2",9.2.1,N,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0
5fca668256f74e40821f4f3f0cc18898,en,US,"iPhone6,1",9.1,N,4,5,1,6,4,51,6,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,0,0,0
31d01da52b604c378926fcd6b2976711,es,UY,"iPad3,1",8.4.1,N,0,3,0,3,0,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
0bc6f8e17dd1404ba9fb5828ab81bcb8,en,US,"iPad2,5",9.2,N,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7f48b5500d854e6ba042a7b976524319,en,US,"iPhone7,2",9.2.1,N,19,65,4,88,0,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
4158090d3b014896890233b085595a7c,en,US,"iPhone5,1",9.2.1,N,23,29,6,43,15,30,11,2,0,0,0,0,0,0,0,0,0,0,0,0,13,2,2,0,0,0
d2ed775e348b49c1b813b223983df8ec,en,US,"iPhone8,1",9.2.1,N,20,19,1,15,25,24,5,14,9,0,0,0,0,0,2,0,0,3,1,0,28,4,3,6,1,3
c930f9be6efc4e339733586af30f95f8,en,US,"iPhone7,2",9.2.1,Y,17,37,8,19,43,9,9,23,14,4,2,1,0,3,5,1,0,0,0,0,53,8,6,9,1,3
af09ea15c99f42b795e78cdde07ffc6e,en,US,"iPhone7,2",9.2.1,N,4,2,0,2,4,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0
814b0a2fb57f419baa88a5af02cbee60,en,US,"iPhone7,2",9.2.1,N,1,16,2,15,4,4,9,1,3,0,6,0,0,0,0,0,0,0,0,0,19,3,4,0,0,0
